symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IBM,2019-06-24 00:00:00+00:00,139.35,140.15,139.05,139.2,2186137,112.1107185191,112.7543394363,111.8693606751,111.9900395971,2286699,0.0,1.0
IBM,2019-06-25 00:00:00+00:00,138.36,139.55,138.13,139.46,2801251,111.314237634,112.2716237484,111.1291966203,112.1992163952,2930108,0.0,1.0
IBM,2019-06-26 00:00:00+00:00,138.52,139.68,138.41,138.87,2284567,111.4429618175,112.3762121475,111.3544639414,111.7245459688,2389657,0.0,1.0
IBM,2019-06-27 00:00:00+00:00,138.52,139.3,137.95,138.72,2149824,111.4429618175,112.0704922118,110.984381914,111.6038670468,2248715,0.0,1.0
IBM,2019-06-28 00:00:00+00:00,137.9,139.14,137.84,138.57,6154039,110.9441556066,111.9417680283,110.8958840378,111.4831881248,6437124,0.0,1.0
IBM,2019-07-01 00:00:00+00:00,139.88,141.49,139.28,139.6,3387184,112.5371173768,113.8324044727,112.0544016888,112.3118500557,3542994,0.0,1.0
IBM,2019-07-02 00:00:00+00:00,140.22,140.43,139.47,139.75,2410092,112.8106562666,112.9796067574,112.2072616567,112.4325289777,2520956,0.0,1.0
IBM,2019-07-03 00:00:00+00:00,141.54,141.82,140.43,140.72,1930361,113.87263078,114.097898101,112.9796067574,113.2129193399,2019157,0.0,1.0
IBM,2019-07-05 00:00:00+00:00,141.38,141.49,139.91,140.87,2135085,113.7439065966,113.8324044727,112.5612531612,113.3335982618,2233298,0.0,1.0
IBM,2019-07-08 00:00:00+00:00,140.57,141.29,140.27,141.05,2395487,113.0922404179,113.6714992434,112.8508825739,113.4784129682,2505679,0.0,1.0
IBM,2019-07-09 00:00:00+00:00,139.33,140.99,139.13,140.61,3365227,112.0946279962,113.4301413994,111.9337227669,113.1244214637,3520027,0.0,1.0
IBM,2019-07-10 00:00:00+00:00,140.47,141.91,139.79,140.0,2513931,113.0117878032,114.1703054542,112.4647100236,112.6336605143,2629571,0.0,1.0
IBM,2019-07-11 00:00:00+00:00,141.24,141.58,140.3,140.79,2133327,113.631272936,113.9048118259,112.8750183583,113.2692361701,2231460,0.0,1.0
IBM,2019-07-12 00:00:00+00:00,142.74,142.92,141.66,141.92,2786276,114.8380621558,114.9828768622,113.9691739176,114.1783507157,2914444,0.0,1.0
IBM,2019-07-15 00:00:00+00:00,143.32,143.51,142.12,142.89,2368309,115.3046873208,115.4575472887,114.339255945,114.9587410778,2477251,0.0,1.0
IBM,2019-07-16 00:00:00+00:00,143.53,144.04,143.02,143.17,3474688,115.4736378116,115.8839461463,115.0633294769,115.1840083989,3634523,0.0,1.0
IBM,2019-07-17 00:00:00+00:00,143.07,143.8,141.95,143.61,6064265,115.1035557842,115.6908598712,114.2024865001,115.5379999033,6343221,0.0,1.0
IBM,2019-07-18 00:00:00+00:00,149.63,150.31,142.2,142.5,12695387,120.3812473054,120.9283250851,114.4036180367,114.6449758807,13279374,0.0,1.0
IBM,2019-07-19 00:00:00+00:00,149.68,151.58,149.55,149.96,7290678,120.4214736128,121.9500732912,120.3168852137,120.6467409338,7626049,0.0,1.0
IBM,2019-07-22 00:00:00+00:00,149.74,151.94,149.7,150.16,4093239,120.4697451816,122.2397027039,120.4375641357,120.8076461631,4281527,0.0,1.0
IBM,2019-07-23 00:00:00+00:00,150.38,150.72,148.38,150.57,3742204,120.9846419153,121.2581808052,119.3755896223,121.1375018832,3914345,0.0,1.0
IBM,2019-07-24 00:00:00+00:00,150.03,151.45,149.2,150.12,2952435,120.7030577641,121.8454848921,120.0353010624,120.7754651172,3088247,0.0,1.0
IBM,2019-07-25 00:00:00+00:00,150.39,150.62,148.61,149.82,3102113,120.9926871768,121.1777281905,119.560630636,120.5341072733,3244810,0.0,1.0
IBM,2019-07-26 00:00:00+00:00,151.36,151.41,150.1,151.0,2904494,121.7730775389,121.8133038463,120.7593745943,121.4834481262,3038100,0.0,1.0
IBM,2019-07-29 00:00:00+00:00,150.88,151.48,150.32,151.11,2075528,121.3869049886,121.8696206765,120.9363703465,121.5719460023,2171002,0.0,1.0
IBM,2019-07-30 00:00:00+00:00,149.77,150.4,149.22,150.0,2632726,120.493880966,121.0007324383,120.0513915854,120.6789219797,2753831,0.0,1.0
IBM,2019-07-31 00:00:00+00:00,148.24,150.18,146.39,149.7,3722907,119.2629559618,120.823736686,117.7745825907,120.4375641357,3894160,0.0,1.0
IBM,2019-08-01 00:00:00+00:00,150.32,152.82,148.5,148.9,6344006,120.9363703465,122.9476857129,119.4721327599,119.7939432185,6635830,0.0,1.0
IBM,2019-08-02 00:00:00+00:00,147.25,152.95,145.59,149.03,8101720,118.4664750767,123.0522741119,117.1309616735,119.8985316175,8474399,0.0,1.0
IBM,2019-08-05 00:00:00+00:00,140.76,145.1,139.15,144.98,7114871,113.2451003857,116.7367438617,111.9498132898,116.6402007241,7442155,0.0,1.0
IBM,2019-08-06 00:00:00+00:00,140.73,142.47,139.31,142.03,5070650,113.2209646013,114.6208400963,112.0785374732,114.2668485918,5303899,0.0,1.0
IBM,2019-08-07 00:00:00+00:00,139.11,139.58,136.41,138.74,5931883,111.9176322439,112.2957595328,109.7454116483,111.6199575697,6204749,0.0,1.0
IBM,2019-08-08 00:00:00+00:00,140.1,140.42,137.76,138.45,5261444,114.0174454864,114.2778707723,112.1130855832,112.6746276059,5503470,1.62,1.0
IBM,2019-08-09 00:00:00+00:00,136.13,139.31,135.35,139.27,5244594,110.7865442831,113.3745205618,110.1517576487,113.3419674011,5485845,0.0,1.0
IBM,2019-08-12 00:00:00+00:00,134.12,135.87,133.18,135.66,4516866,109.150747956,110.5749487383,108.3857486786,110.4040446444,4724641,0.0,1.0
IBM,2019-08-13 00:00:00+00:00,135.79,136.57,132.81,133.8,4551170,110.5098424168,111.1446290512,108.0846319418,108.8903226701,4760523,0.0,1.0
IBM,2019-08-14 00:00:00+00:00,131.25,134.16,130.98,133.91,5114159,106.815058673,109.1833011167,106.595324838,108.9798438621,5349410,0.0,1.0
IBM,2019-08-15 00:00:00+00:00,131.92,132.37,130.25,131.22,3738945,107.3603241154,107.7265471737,106.0012296545,106.7906438024,3910936,0.0,1.0
IBM,2019-08-16 00:00:00+00:00,133.76,134.59,132.95,133.04,3011993,108.8577695093,109.5332475947,108.1985680044,108.271812616,3150544,0.0,1.0
IBM,2019-08-19 00:00:00+00:00,135.04,136.33,134.88,134.88,3165436,109.899470653,110.9493100868,109.76925801,109.76925801,3311046,0.0,1.0
IBM,2019-08-20 00:00:00+00:00,133.0,135.28,132.81,135.24,3018934,108.2392594553,110.0947896174,108.0846319418,110.0622364567,3157804,0.0,1.0
IBM,2019-08-21 00:00:00+00:00,134.25,135.94,133.8,134.96,2806774,109.2565457284,110.6319167696,108.8903226701,109.8343643315,2935885,0.0,1.0
IBM,2019-08-22 00:00:00+00:00,134.32,135.68,133.81,134.69,2695009,109.3135137597,110.4203212248,108.8984609603,109.6146304965,2818979,0.0,1.0
IBM,2019-08-23 00:00:00+00:00,129.57,134.26,128.83,133.63,4818759,105.447825922,109.2646840186,104.8455924483,108.7519717369,5040421,0.0,1.0
IBM,2019-08-26 00:00:00+00:00,129.99,131.3,129.16,131.05,2836837,105.7896341097,106.8557501239,105.1141560244,106.6522928693,2967331,0.0,1.0
